chunkSize	dimensions	rules	points	timeMs	timeNormUs	matchesPercent
377	       16	      144	   200000	      764	        3	0.00
377	       16	      233	   200000	      872	        4	0.00
377	       16	      377	   200000	     1032	        5	0.00
377	       16	      610	   200000	     1290	        6	0.00
377	       16	      987	   200000	     1653	        8	0.00
377	       16	     1597	   200000	     2414	       12	0.00
377	       16	     2584	   200000	     3593	       17	0.00
377	       16	     4181	   200000	     5232	       26	0.00
377	       16	     6765	   200000	     8159	       40	0.00
377	       16	    10946	   200000	    13336	       66	0.00
377	       16	    17711	   200000	    20799	      103	0.00
377	       16	    28657	   200000	    33233	      166	0.00
377	       16	    46368	   200000	    53733	      268	0.00
377	       16	    75025	   200000	    86522	      432	0.00
610	       16	      144	   200000	      756	        3	0.00
610	       16	      233	   200000	      868	        4	0.00
610	       16	      377	   200000	      947	        4	0.00
610	       16	      610	   200000	     1099	        5	0.00
610	       16	      987	   200000	     1509	        7	0.00
610	       16	     1597	   200000	     2093	       10	0.00
610	       16	     2584	   200000	     2924	       14	0.00
610	       16	     4181	   200000	     4654	       23	0.00
610	       16	     6765	   200000	     6875	       34	0.00
610	       16	    10946	   200000	    10860	       54	0.00
610	       16	    17711	   200000	    17770	       88	0.00
610	       16	    28657	   200000	    27732	      138	0.00
610	       16	    46368	   200000	    44585	      222	0.00
610	       16	    75025	   200000	    71589	      357	0.00
987	       16	      144	   200000	      755	        3	0.00
987	       16	      233	   200000	      758	        3	0.00
987	       16	      377	   200000	      916	        4	0.00
987	       16	      610	   200000	      999	        4	0.00
987	       16	      987	   200000	     1381	        6	0.00
987	       16	     1597	   200000	     1769	        8	0.00
987	       16	     2584	   200000	     2624	       13	0.00
987	       16	     4181	   200000	     3682	       18	0.00
987	       16	     6765	   200000	     5570	       27	0.00
987	       16	    10946	   200000	     8880	       44	0.00
987	       16	    17711	   200000	    14395	       71	0.00
987	       16	    28657	   200000	    22473	      112	0.00
987	       16	    46368	   200000	    35191	      175	0.00
987	       16	    75025	   200000	    56642	      283	0.00
1597	       16	      144	   200000	      783	        3	0.00
1597	       16	      233	   200000	      795	        3	0.00
1597	       16	      377	   200000	      888	        4	0.00
1597	       16	      610	   200000	      955	        4	0.00
1597	       16	      987	   200000	     1235	        6	0.00
1597	       16	     1597	   200000	     1621	        8	0.00
1597	       16	     2584	   200000	     2292	       11	0.00
1597	       16	     4181	   200000	     3367	       16	0.00
1597	       16	     6765	   200000	     5207	       26	0.00
1597	       16	    10946	   200000	     8016	       40	0.00
1597	       16	    17711	   200000	    12879	       64	0.00
1597	       16	    28657	   200000	    20134	      100	0.00
1597	       16	    46368	   200000	    31406	      157	0.00
1597	       16	    75025	   200000	    49627	      248	0.00
2584	       16	      144	   200000	      706	        3	0.00
2584	       16	      233	   200000	      759	        3	0.00
2584	       16	      377	   200000	      855	        4	0.00
2584	       16	      610	   200000	      954	        4	0.00
2584	       16	      987	   200000	     1203	        6	0.00
2584	       16	     1597	   200000	     1744	        8	0.00
2584	       16	     2584	   200000	     2242	       11	0.00
2584	       16	     4181	   200000	     3352	       16	0.00
2584	       16	     6765	   200000	     5167	       25	0.00
2584	       16	    10946	   200000	     7994	       39	0.00
2584	       16	    17711	   200000	    12388	       61	0.00
2584	       16	    28657	   200000	    19119	       95	0.00
2584	       16	    46368	   200000	    29530	      147	0.00
2584	       16	    75025	   200000	    45589	      227	0.00
4181	       16	      144	   200000	      748	        3	0.00
4181	       16	      233	   200000	      707	        3	0.00
4181	       16	      377	   200000	      858	        4	0.00
4181	       16	      610	   200000	      961	        4	0.00
4181	       16	      987	   200000	     1245	        6	0.00
4181	       16	     1597	   200000	     1595	        7	0.00
4181	       16	     2584	   200000	     2264	       11	0.00
4181	       16	     4181	   200000	     3377	       16	0.00
4181	       16	     6765	   200000	     4881	       24	0.00
4181	       16	    10946	   200000	     7634	       38	0.00
4181	       16	    17711	   200000	    11790	       58	0.00
4181	       16	    28657	   200000	    18144	       90	0.00
4181	       16	    46368	   200000	    27285	      136	0.00
4181	       16	    75025	   200000	    41642	      208	0.00
6765	       16	      144	   200000	      737	        3	0.00
6765	       16	      233	   200000	      772	        3	0.00
6765	       16	      377	   200000	      909	        4	0.00
6765	       16	      610	   200000	     1016	        5	0.00
6765	       16	      987	   200000	     1186	        5	0.00
6765	       16	     1597	   200000	     1677	        8	0.00
6765	       16	     2584	   200000	     2297	       11	0.00
6765	       16	     4181	   200000	     3328	       16	0.00
6765	       16	     6765	   200000	     4883	       24	0.00
6765	       16	    10946	   200000	     7564	       37	0.00
6765	       16	    17711	   200000	    11068	       55	0.00
6765	       16	    28657	   200000	    17004	       85	0.00
6765	       16	    46368	   200000	    25756	      128	0.00
6765	       16	    75025	   200000	    38777	      193	0.00
10946	       16	      144	   200000	      852	        4	0.00
10946	       16	      233	   200000	      871	        4	0.00
10946	       16	      377	   200000	      888	        4	0.00
10946	       16	      610	   200000	     1061	        5	0.00
10946	       16	      987	   200000	     1257	        6	0.00
10946	       16	     1597	   200000	     1586	        7	0.00
10946	       16	     2584	   200000	     2288	       11	0.00
10946	       16	     4181	   200000	     3233	       16	0.00
10946	       16	     6765	   200000	     4736	       23	0.00
10946	       16	    10946	   200000	     6758	       33	0.00
10946	       16	    17711	   200000	    10227	       51	0.00
10946	       16	    28657	   200000	    14703	       73	0.00
10946	       16	    46368	   200000	    22546	      112	0.00
10946	       16	    75025	   200000	    34069	      170	0.00
17711	       16	      144	   200000	      819	        4	0.00
17711	       16	      233	   200000	      824	        4	0.00
17711	       16	      377	   200000	      837	        4	0.00
17711	       16	      610	   200000	      961	        4	0.00
17711	       16	      987	   200000	     1066	        5	0.00
17711	       16	     1597	   200000	     1313	        6	0.00
17711	       16	     2584	   200000	     1674	        8	0.00
17711	       16	     4181	   200000	     2290	       11	0.00
17711	       16	     6765	   200000	     3213	       16	0.00
17711	       16	    10946	   200000	     4571	       22	0.00
17711	       16	    17711	   200000	     6596	       32	0.00
17711	       16	    28657	   200000	    10452	       52	0.00
17711	       16	    46368	   200000	    14571	       72	0.00
17711	       16	    75025	   200000	    22880	      114	0.00
28657	       16	      144	   200000	      738	        3	0.00
28657	       16	      233	   200000	      818	        4	0.00
28657	       16	      377	   200000	      765	        3	0.00
28657	       16	      610	   200000	      919	        4	0.00
28657	       16	      987	   200000	      944	        4	0.00
28657	       16	     1597	   200000	     1161	        5	0.00
28657	       16	     2584	   200000	     1456	        7	0.00
28657	       16	     4181	   200000	     1850	        9	0.00
28657	       16	     6765	   200000	     2630	       13	0.00
28657	       16	    10946	   200000	     3668	       18	0.00
28657	       16	    17711	   200000	     5247	       26	0.00
28657	       16	    28657	   200000	     7102	       35	0.00
28657	       16	    46368	   200000	    10490	       52	0.00
28657	       16	    75025	   200000	    16010	       80	0.00
46368	       16	      144	   200000	      836	        4	0.00
46368	       16	      233	   200000	      799	        3	0.00
46368	       16	      377	   200000	      787	        3	0.00
46368	       16	      610	   200000	      916	        4	0.00
46368	       16	      987	   200000	     1015	        5	0.00
46368	       16	     1597	   200000	     1123	        5	0.00
46368	       16	     2584	   200000	     1432	        7	0.00
46368	       16	     4181	   200000	     1909	        9	0.00
46368	       16	     6765	   200000	     2501	       12	0.00
46368	       16	    10946	   200000	     3493	       17	0.00
46368	       16	    17711	   200000	     4747	       23	0.00
46368	       16	    28657	   200000	     6828	       34	0.00
46368	       16	    46368	   200000	     9065	       45	0.00
46368	       16	    75025	   200000	    13165	       65	0.00
75025	       16	      144	   200000	      792	        3	0.00
